Date-Time,Researcher,Location,Description,Image Count,Rotation (in degrees),Volume
"03/31/2021, 08:54:27",venkat,"manhattan, KS",test for demo,36,10,0.0
"03/31/2021, 08:57:32",Venkat,MHK,asdf,36,10,0.0
"03/31/2021, 09:05:41",Venkat,MHK,asdf,36,10,0.5104166666666666
"03/31/2021, 09:07:49",Venkat,MHK,asdf,36,10,2.394345238095238
"03/31/2021, 09:10:33",Venkat,MHK,asdf,36,10,2.769345238095238
"03/31/2021, 09:28:27",venkat,MHK,images,36,10,2.6517857142857144
"04/01/2021, 11:42:14",Venkat,MHK,images,36,10,3.4345238095238098
"04/02/2021, 08:30:43",Venkat,MHK,test images,36,10,3.901785714285714
